title,description,question,difficulty
Деревья на асфальте,"Добрая, душевная Анна Тимофеевна с болью покидала свой деревенский дом, своих односельчан. Сын Степан, опасаясь за здоровье матери, уговорил ее переехать в город. Чем могла, помогала она его семье и ждала возвращения из армии внука Генки, который, наконец, приехал с молодой красивой женой Светой. На смену радостным хлопотам пришла болезнь, после которой Анна Тимофеевна оказалась в загородном пансионате для престарелых. Затосковав по дому, она уезжает в родную деревню. Там она встречает Генку, и он становится для пожилой женщины самым близким и дорогим человеком.","Помоги вспомнить фильм, где пожилая женщина возвращается в родное место после болезни и встречает внука.?",4
Отель «Гранд Будапешт»,"Фильм рассказывает об увлекательных приключениях легендарного консьержа Густава и его юного друга, портье Зеро Мустафы. Сотрудники гостиницы становятся свидетелями кражи и поисков бесценных картин эпохи Возрождения, борьбы за огромное состояние богатой семьи и… драматических изменений в Европе между двумя кровопролитными войнами XX века.","Помоги вспомнить фильм, где консьерж и портье становятся свидетелями кражи картины.?",2
Хеллбой: Герой из пекла,"Вторая мировая война. Нацисты терпят одно сокрушительное поражение за другим. В результате исследования оккультных ритуалов в суперсекретной лаборатории учёным, работающим на фашистский режим, удаётся поднять из небытия Демона Ада, который должен помочь переломить ход войны.
Но в научную лабораторию тайно проникает отряд союзников и поворачивает это мистическое и грозное оружие против нацистов. Однако никто из участников эксперимента и не предполагает, что врата потустороннего мира после открытия окажутся неподвластны людям, и им придётся столкнуться с существами ещё более опасными и непредсказуемыми, чем Демон Ада.","Помоги вспомнить фильм, где нацисты пытаются использовать оккультные силы для изменения хода войны.?",4
"Карты, деньги, два ствола","Четверо приятелей накопили по 25 тысяч фунтов, чтобы один из них мог сыграть в карты с опытным шулером и матерым преступником, известным по кличке Гарри Топор. Парень проиграл 500 тысяч, на выплату долга ему дали неделю, а в противном случае и ему и его друзьям каждый день будут отрубать по пальцу. Ребята решают ограбить бандитов, решивших ограбить трех ботаников, выращивающих марихуану для местного наркобарона.","Помоги вспомнить фильм, в котором друзья пытаются спасти себя от отрубания пальцев.?",2
В джазе только девушки,"Когда чикагские музыканты Джо и Джерри случайно становятся свидетелями бандитской перестрелки, они решают уехать на поезде во Флориду вместе с женским ансамблем. Сперва их план срабатывает, но вскоре любвеобильная солистка влюбляется в Джо, а босс мафии находит музыкантов и решает срочно разделаться со свидетелями.","Помоги вспомнить фильм, где музыканты прячутся в женском ансамбле.?",1
Крестный отец,"Криминальная сага, повествующая о нью-йоркской сицилийской мафиозной семье Корлеоне. Фильм охватывает период 1945-1955 годов.

Глава семьи, Дон Вито Корлеоне, выдаёт замуж свою дочь. В это время со Второй мировой войны возвращается его любимый сын Майкл. Майкл, герой войны, гордость семьи, не выражает желания заняться жестоким семейным бизнесом. Дон Корлеоне ведёт дела по старым правилам, но наступают иные времена, и появляются люди, желающие изменить сложившиеся порядки. На Дона Корлеоне совершается покушение.","Помоги вспомнить фильм, где глава семьи выдаёт свою дочь замуж.?",1
Кракен,"Российский ракетный подводный крейсер специального назначения бесследно исчезает во время секретной миссии в Гренландском море. На его поиски отправляется экипаж под командованием Виктора Воронина, чей старший брат командовал пропавшей субмариной. 
Перед моряками стоит задача любыми силами найти подлодку и не допустить, чтобы новое секретное оружие попало в руки врага. В это же время из-за геологических исследований на полярной станции в северных водах пробуждается Кракен — гигантское чудовище, способное сливаться с подводной тьмой, обладающее высоким интеллектом. Именно с ним предстоит столкнуться морякам, разыскивающим пропавшую подводную лодку.","Помоги вспомнить фильм, в котором экипаж ищет подводную лодку и сталкивается с гигантским чудовищем.?",4
Ученик чудовища,"9-летний мальчик Рэн остался без родителей, сбежал от опекунов и скитался по улицам Токио. Там он встречает великого воина Медвежута — похожее на медведя чудище, явившееся из параллельного мира, чтобы найти себе ученика. Им и становится Рэн. В мире чудовищ мальчик получает имя Девята и под началом Медвежута начинает тренировки, чтобы стать мастером боевых искусств.","Помоги вспомнить фильм, где мальчик становится учеником существа из параллельного мира и тренируется в боевых искусствах.?",5
Мотылёк,"Взломщик сейфов по прозвищу Мотылёк получает пожизненный срок и отправляется на каторгу за убийство, которого он не совершал. Когда вокруг враги, а надежда угасает с каждым днём заключения, лишь сила духа может помочь Мотыльку обрести свободу.","Помоги вспомнить фильм, где главный герой оказывается на каторге за преступление, которого не совершал.?",1
Пролетая над гнездом кукушки,"Рэндла Патрика Макмёрфи, патологического преступника и бунтаря, переводят из колонии в психиатрическую клинику, чтобы установить, является он душевнобольным или нет. В клинике он обнаруживает, что отделение контролирует хладнокровная, строгая и одержимая распорядком старшая медсестра Милдред Рэтчед. Макмёрфи намерен не подчиняться абсурдным, на его взгляд, правилам и одновременно повеселиться от души. Его бунтарская натура заражает других пациентов, но сестра Рэтчед решительно настроена пресечь это.","Помоги вспомнить фильм, где главный герой бросает вызов строгой медсестре в психиатрической клинике.?",4
Карнавальная ночь,"Команда молодых работников клуба готовится к встрече Нового года. Они задумывают провести интересный и веселый праздник, но, на беду ребят, их берется контролировать директор клуба Огурцов — бюрократ, буквоед и чинуша. Собрав всех в своем кабинете, он подробно рассказывает о том, как правильно и полезно провести новогоднюю ночь. Организаторы понимают, что Огурцов собирается вместо праздника преподнести гостям клуба некий коктейль из смотра художественной самодеятельности и партсобрания. И тогда молодежь решает хитростью обойти недалекого начальника, чтобы организовать настоящий новогодний бал.","Помоги вспомнить фильм, где молодежь устраивает праздник, несмотря на строгого начальника и бюрократические преграды.?",3
Белый зомби,"Молодые влюбленные Нил и Мадлен отправляются в романтическое путешествие на Гаити. В пути на корабле герои знакомятся с весьма изысканным и учтивым господином, месье Бомоном. По прибытии на остров влюбленные решают остановиться у него. Бомон влюбляется в Мадлен и делает все, чтобы добиться взаимности. Когда девушка в очередной раз жестко отвергает ухаживания, он решается на крайний шаг и обращается за помощью к практикующему вуду колдуну. Тот дает герою зелье, которое должно превратить Мадлен в зомби.","Помоги вспомнить фильм, где вуду и зомби связаны с любовными интригами на тропическом острове.?",5
50 первых поцелуев,"Генри Рот влюбляется в очаровательную Люси. Несмотря на небольшие помехи, уже к вечеру настойчивому Ромео удается добиться взаимности красавицы. Молодые люди счастливы и уверены, что их любовь продлится вечно.

Увы, из-за последствий автомобильной аварии, девушка утром не помнит ничего из того, что произошло накануне. Несмотря на это, Генри не намерен сдаваться и собирается бороться за свою любовь, даже если ради этого ему и придется влюблять в себя Люси каждый день!","Помоги вспомнить фильм, где герой пытается влюбить девушку каждый день заново.?",2
Лихие,"Хабаровский край. Тайга. Павел Лиховцев, старший егерь и охотник на медведей, держит в тайге пасеку и воспитывает старшего сына Женьку настоящим мужиком. Но с приходом 90-х пасека разоряется. Павел с семьёй вынужден ехать в Хабаровск в поисках лучшей жизни. В это время в городе идёт передел сфер влияния — вся власть и все ресурсы переходят к ОПГ «Общак». Устроившись на работу водителем к Юре Крабу, бывшему соседу по посёлку и крёстному Женьки, Павел попадает в эпицентр бандитских разборок.","Помоги вспомнить фильм, в котором старший егерь воспитывает сына в тайге.?",1
Сопрано,"Мафиозный босс Северного Джерси Тони Сопрано эффективно решает проблемы «семьи». Но с собственной роднёй ситуация сложнее: дети от рук отбились, брак под угрозой, в отношениях с пожилой матерью сплошное недопонимание. После серии панических атак он решает тайно посещать психотерапевта.","Помоги вспомнить фильм, где мафиозный босс сталкивается с трудностями в семейных отношениях и обращается к психотерапевту.?",5
Слабый герой,"Невысокий спокойный старшеклассник Ён Щи-ын только и делает, что прилежно учится и готовится к экзаменам. В его классе свирепствует буллер, который, получив от тихони жёсткий отпор, решает испортить тому экзамен с помощью новенького ученика. Но у Щи-ына находится неожиданный союзник — бывший спортсмен Ан Су-хо, вечно спящий на задней парте.","Помоги вспомнить фильм, где спокойный старшеклассник получает поддержку от бывшего спортсмена.?",3
Тетрадь смерти,"Старшеклассник Лайт Ягами решил освободить мир ото зла с помощью сверхъестественной Тетради смерти. Если написать настоящее имя человека в эту тетрадь, он умрёт. Однако одного имени недостаточно: необходимо знать также и внешность жертвы. Лайт начинает массовые убийства преступников по всему миру, но его берётся остановить таинственный детектив под кодовым именем L.","Помоги вспомнить фильм, где главный герой использует тетрадь для борьбы с преступностью.?",5
Один дома 2: Затерянный в Нью-Йорке,"Самый маленький герой Америки устраивает большой переполох в Нью-Йорке! Кевин МакКалистер вернулся! Но теперь он один не дома, а в Нью-Йорке и у него достаточно денег и кредитных карточек, чтобы превратить Большое Яблоко в собственную площадку для игр.

Но, как всегда, Кевину не суждено быть долго одному: его старые приятели ― жулики Гарри и Марв ― сбежали из тюрьмы, куда они попали стараниями Кевина. И надо же им было попасть именно в тот город, где Кевин планировал поразвлечься! Новые западни и ловушки уже ждут горе-бандитов.","Помоги вспомнить фильм, где главный герой использует деньги и кредитки для развлечений в большом городе.?",3
Мой парень – псих,"Бывший школьный учитель Пэт, проведя в психиатрической больнице восемь месяцев, возвращается в родительский дом. Он одержим мыслью помириться с бывшей супругой, к которой не имеет права приближаться по решению суда. Но знакомство с эксцентричной девушкой Тиффани зажигает в Пэте лучик надежды.","Помоги вспомнить фильм, где главный герой встречает девушку, чтобы изменить свою жизнь после психбольницы.?",5
Привидение,"Влюблённая пара Сэм и Молли возвращается домой после приятного вечера, когда на них нападает грабитель. Защищаясь, Сэм погибает и становится призраком. Он узнаёт, что его смерть не была случайной, а над его возлюбленной нависла смертельная опасность. Чтобы предупредить Молли, Сэм начинает обход практикующих медиумов и, о чудо! - находит женщину, которая действительно может его слышать. Только вот сама она не горит желанием помогать назойливому привидению.","Помоги вспомнить фильм, где призрак пытается предупредить свою возлюбленную о смертельной опасности.?",2
Вики Кристина Барселона,"Две молодые американки Вики и Кристина проводят свои летние каникулы в Барселоне и совершенно очарованы этим городом, а также одним молодым художником по имени Антонио. Вики — старомодна и настроена на серьезные отношения: ухаживания, свидания и свадебную фату в финале. Кристина — сексуально раскрепощена, раскованна и привлекательна в своей бунтарской сущности. 

Антонио не может определиться, его привлекают обе девушки. Отношения в любовном треугольнике становятся все более запутанными, а тут еще в игру вступает бывшая жена Антонио, обладающая весьма взрывным темпераментом, и похоже на то, что она не до конца отказалась от своих прав на бывшего мужа.","Помоги вспомнить фильм, где две американки очарованы художником в Барселоне, но сталкиваются с его взрывной экс-женой.?",4
Бэтмен,"В раннем детстве юный наследник Брюс Уэйн стал свидетелем убийства своих родителей и после этого стал ненавидеть преступность. В Готэме все чаще случались насилие, ограбления и убийства. В трудное для города время появляется герой, способный укротить любого преступника и заставить его бежать в страхе. Таинственный мститель, герой по прозвищу «Бэтмен», встал на защиту слабых и начал свою борьбу с преступниками. Раскрыть таинственность героя, узнать, кто скрывается за маской героя хотят журналистка Вики Вейл и репортер Нокс. Тем временем один из преступников, уходя от полицейской погони, упал в чан с химикатами и превратился в Джокера, который стал угрозой для города. Только Бэтмен может ему помешать...","Помоги вспомнить фильм, где юный наследник стал мстителем после трагедии в своем детстве.?",5
Бесстыжие,"О взбалмошной многодетной семье Галлагеров и их соседях, которые веселятся, попадают в самые невероятные ситуации и пытаются выжить в этом мире всеми возможными средствами, но при этом как можно меньше работая.","Помоги вспомнить фильм, где главные герои пытаются выжить, не желая много работать.?",4
Судья Дредд,"Будущее не столь красочно и великолепно, каким его представляют современные люди. Через несколько столетий человечество окажется на грани самоуничтожения, захлёбываясь в кровавых преступлениях, смертельных грехах и беспорядочных убийствах. Старую систему правосудия будет невозможно использовать - анархия, всеобщие беспорядки вынуждают ещё сохранившуюся власть, тем не менее, потерявшую всякий авторитет и легитимность, пойти на отчаянные крайние меры и ввести институт Судей - универсальных полицейских, правоприменителей, а по совместительству - и прокуроров, которые упростили бы весь процесс задержания, следствия и судебных тяжб, совмещая в одном лице все должности блюстителей и защитников правопорядка.

Негодяи, подонки, вконец обнаглевшие и распоясавшиеся преступники и бандитские группировки всё равно не желают сдавать свои упрочившие позиции, опасаясь лишь одного - встречи с легендарным Судьёй Дреддом, пересажавшим или расстрелявшим не одну сотню насильников, террористов и жадных до человеческих страданий маньяков. В то время, как беспорядки и бесчинства бушуют на улицах города, Дредд спешит вернуть порядок, Закон и тишину, которым, кажется, уже никогда не обрести свою былую полноту, мощь и силу...","Помоги вспомнить фильм, где главный герой сочетает в себе функции полицейского и прокурора.?",4
Властелин колец: Две крепости,"Братство распалось, но Кольцо Всевластья должно быть уничтожено. Фродо и Сэм вынуждены довериться Голлуму, который взялся провести их к вратам Мордора. Громадная армия Сарумана приближается: члены братства и их союзники готовы принять бой. Битва за Средиземье продолжается.","Помоги вспомнить фильм, в котором Фродо и Сэм доверяются Голлуму.?",2
Люди Икс,"Они — дети атомного века, сверхлюди, новое звено в цепи эволюции. Каждый из них был рождён в результате уникальной генетической мутации, наделившей их с детства необыкновенными способностями. Под руководством профессора Чарльза Ксавьера, телепата с мировым именем, одарённые ученики научились контролировать и управлять своими удивительными способностями в интересах человечества.

Но не все мутанты разделяют взгляды профессора: могущественный мутант Магнето, которому подвластны все металлы, собрал команду единомышленников. Он не верит, что люди и мутанты когда-либо смогут мирно сосуществовать. Они разработали план, чтобы осуществить захват власти над миром, и тогда, только ученики профессора Ксавьера смогут защитить этот мир…","Помоги вспомнить фильм, где есть профессор с уникальными телепатическими способностями.?",2
Добро пожаловать в Zомбилэнд,"После нашествия зомби в США небольшая группа выживших скитается по стране от побережья к побережью, сражаясь с живыми мертвецами. Они решают остановиться  в парке развлечений, надеясь, что там будут в безопасности.","Помоги вспомнить фильм, где группа выживших ищет укрытие в парке развлечений во время зомби-апокалипсиса.?",5
Гарри Поттер и Принц-полукровка,"Теперь не только мир волшебников, но и мир маглов ощущает на себе всевозрастающую силу Волан-де-Морта, а Хогвартс уже никак не назовешь надежным убежищем. Гарри подозревает, что в самом замке затаилась некая опасность, но Дамблдор больше сосредоточен на том, чтобы подготовить его к финальной схватке, которая, как он знает, уже не за горами. Вместе они пытаются разгадать секрет бессмертия Волан-де-Морта, а для этого Дамблдор приглашает на должность преподавателя по зельеварению своего старинного друга и коллегу — профессора Горация Слизнорта.","Помоги вспомнить фильм, где Гарри и Дамблдор исследуют тайны, связанные с неким зельем и угрозой изнутри.?",5
"Влюбись в меня, если осмелишься","Судьба свела их не зря: вдвоем они были странной, но гармоничной парой. Они придумали игру «осмелишься — не осмелишься», в которой брали друг друга «на слабо». Даже повзрослев, они веселились, делали друг другу больно, страдали, но не хотели друг другу уступать. Они знали, что любят друг друга, но игра всегда возвращалась.","Помоги вспомнить фильм, где герои играли в «осмелишься — не осмелишься»?",1
Лицо со шрамом,"Весной 1980 года был открыт порт Мэйриэл Харбор, и тысячи кубинских беженцев ринулись в Соединенные Штаты на поиски Американской Мечты. Один из них нашел ее на залитых солнцем улицах Майами. Богатство, власть и страсть превзошли даже самые невероятные его мечты. Его звали Тони Монтана. Мир запомнил его под другим именем — Лицо со шрамом.","Помоги вспомнить фильм, где кубинский беженец добивается богатства и власти в Майами.?",3
Кин-дза-дза!,"Прораб Владимир Николаевич Машков и не подозревал, что обычный путь до универсама за хлебом и макаронами обернется межгалактическим путешествием. А все эта встреча со странным босоногим человеком с каким-то маленьким устройством — «машинкой перемещения», как тот ее назвал. Владимир Николаевич нажал кнопку и оказался вместе со случайным попутчиком, студентом в кроличьей шапке, в какой-то пустыне — на планете Плюк в тентуре, галактика Кин-дза-дза в спирали.","Помоги вспомнить фильм, где герой случайно попадает на планету с необычным названием, связанный с пустыней.?",4
Лузеры,"«Лузеры» – сумасшедший экшн о предательстве и мести, рассказывающий о членах элитного отряда специального назначения, которых отправили в джунгли Боливии. Им поставили задачу «найти и уничтожить», но на месте выясняется, что команду – Клэя, Дженсена, Рока, Пуча и Кугара – подставили, и они попали под перекрестный огонь двух противоборствующих лагерей. Смертельное противостояние было спровоцировано изнутри могущественным врагом, о котором известно лишь одно: его имя – Макс. 
Решив сыграть на том, что они числятся погибшими, члены отряда уходят в глубокое подполье и составляют опасный план по восстановлению своей репутации и сведению счетов с Максом. К ним присоединяется загадочная Аиша – красавица-агент, работающая по заданию, но вполне способная внести коррективы в заданный сверху план. В перерывах между разборками друг с другом им необходимо всегда оставаться на шаг впереди разъезжающего по всему миру Макса – беспощадного негодяя, намеревающегося втянуть мир в новую высокотехнологичную мировую войну только ради собственной выгоды. Если они смогут победить Макса и одновременно спасти мир, это будет настоящей удачей для команды, известной теперь как ЛУЗЕРЫ.","Помоги вспомнить фильм, где команда подставленных солдат пытается восстановить свою репутацию.?",1
Земля мертвых,"Зомби заполонили мир, и последние люди пытаются спастись, будучи заложниками ситуации в городе, окружённом неприступной стеной. Однако скоро и они окажутся под угрозой со стороны еще более опасных существ.","Помоги вспомнить фильм, где люди становятся заложниками в окруженном городе с зомби и более опасными существами.?",4
Бесславные ублюдки,"Вторая мировая война. В оккупированной немцами Франции группа американских солдат-евреев наводит страх на нацистов, жестоко убивая и скальпируя солдат.","Помоги вспомнить фильм, где группа солдат-евреев устраивает ужас для нацистов во время войны.?",5
День сурка,"Телевизионный комментатор Фил Коннорс каждый год приезжает в маленький городок в штате Пенсильвания на празднование Дня сурка. Но на этот раз веселье рискует зайти слишком далеко. Время сыграло с ним злую шутку: оно взяло да и остановилось.

Теперь на календаре Фила чернеет одна и та же дата - 2 февраля, из которой он никак не может выбраться. Неунывающий ведущий пытается извлечь выгоду из своего комичного положения: впереди у него уйма времени и безмятежное предсказуемое будущее.

Отныне с ним не случится ничего плохого... и ничего хорошего. У Фила осталась одна заветная мечта, простая и незамысловатая - 3 февраля...","Помоги вспомнить фильм, где главный герой застрял в одном и том же дне.?",1
Супермен,"Кларк Кент, родившийся на планете Криптон, но выросший в простой американской семье, считает своим долгом служение человечеству в качестве Супермена. Он предотвращает вторжение сил Боравии в соседнюю страну, чем навлекает на себя гнев Лекса Лютора, который со своими приспешниками проникает на криптонский корабль Супермена и очерняет его перед общественностью.","Помоги вспомнить фильм, где главный герой летает и спасает человечество.?",1
Поток,"Происходит глобальное наводнение, и черный кот вынужден спасаться в лодке вместе с другими животными.","Помоги вспомнить фильм, где кот спасается на лодке во время наводнения.?",2
Ночь живых мертвецов,"Брат и сестра приезжают навестить могилу матери. Брат пугает сестру рассказами о зомби, не подозревая, что они весьма недалеки от реальности. Внезапно на них набрасывается покойник — брата убивают, а Барбара убегает, обнаруживая по дороге фермерский дом. Через какое-то время к нему подъезжает Бен, в бензобаке машины которого кончился бензин. Они решают остаться в доме и готовиться к обороне.","Помоги вспомнить фильм, где брат пугает сестру рассказами о зомби.?",2
Оппенгеймер,"История жизни американского физика-теоретика Роберта Оппенгеймера, который во времена Второй мировой войны руководил Манхэттенским проектом — секретными разработками ядерного оружия.","Помоги вспомнить фильм, где главный герой связан с ядерным оружием и Второй мировой войной.?",2
Чего хотят женщины,"Сексапильный Ник Маршал находится на пике карьеры в рекламном агентстве и рассчитывает на повышение, но его место занимает Дарси Макгуайр. Однажды с Ником происходит несчастный случай, после которого он начинает читать женские мысли. С помощью этого дара плейбой хочет вернуть утраченные позиции на работе, но вместо этого находит свою любовь.","Можешь подсказать, в каком фильме главный герой начинает слышать мысли женщин после несчастного случая?",5
Человек-паук 2,"Тихоня Питер Паркер балансирует на грани двух своих жизней: супергероя Человека-паука и обычного студента колледжа. Его отношения со всеми, кто ему дорог, в опасности или зашли в тупик. А жизнь приготовила ему новое испытание. Он должен использовать все свои суперспособности, чтобы одолеть жестокого безумца доктора Отто Октавиуса.","Помоги вспомнить фильм, где есть студент-который-супергерой и злодей с механическими щупальцами.?",1
Аватар,"Бывший морпех Джейк Салли прикован к инвалидному креслу. Несмотря на немощное тело, Джейк в душе по-прежнему остается воином. Он получает задание совершить путешествие в несколько световых лет к базе землян на планете Пандора, где корпорации добывают редкий минерал, имеющий огромное значение для выхода Земли из энергетического кризиса.","Помоги вспомнить фильм, где главный герой — бывший морпех в инвалидном кресле.?",1
Молодёжка,"«Медведи» никогда не были лидерами своей лиги. Но теперь все будет по-другому — за команду берется новый тренер Сергей Макеев. Когда-то он блеснул в НХЛ, но после травмы завершил карьеру игрока. Перед новоиспеченным тренером стоит невыполнимая задача — выиграть чемпионат и превратить команду любителей в настоящих профи. Но вот только как это сделать, ведь у его игроков в их 15-17 лет есть еще так много интересных дел. Да и в клубе не все рады приходу слишком активного новичка…","Помоги вспомнить фильм, где бывший хоккеист пытается превратить команду любителей в профессионалов.?",5
